eta,mi,S1
0.22114699,0.1655604,0.14683801
0.9965888,3.7057176,0.9261469
0.39069927,1.4612992,0.31256264
-1.8904502,0.004968229,0.03338159
-0.5701871,0.000506765,0.0009468919
1.0758973,1.1169993,0.04641152
-2.3877563,0.016931394,0.18574521
0.610612,1.1984745,0.68816626
-1.4064515,0.00023392332,0.0009781149
-3.692015,0.003312964,0.1332219
-3.0928586,0.0045988876,0.101772524
-0.796636,0.00035754283,0.0008287785
0.7436143,3.1057384,0.9245005
0.5567489,2.6626747,0.8837746
0.7342032,1.5460651,0.2742548
0.44108215,1.6971747,0.4430452
-0.16949175,0.056644548,0.072361514
0.7429063,2.8595777,0.8325416
-1.7303432,0.009998852,0.05736196
1.0643774,3.497499,0.8232959
0.9227798,1.908375,0.79712814
-0.3254514,0.57438594,0.80644417
0.74579614,2.512084,0.69410914
0.032904394,0.21619397,0.22593094
1.0256422,3.7090497,0.90617406
1.2386733,3.9257982,0.81890005
0.576493,0.002134725,0.001412599
0.014232932,1.1521583,0.14815411
0.14591785,1.9746604,0.7848202
0.5261385,2.670134,0.91069764
0.3087758,1.0731418,0.05511135
-0.6619824,0.09266982,0.18718497
0.92632294,3.6854196,0.9732893
-2.8386028,0.00038143664,0.006557359
-2.1717658,0.018519673,0.16403541
0.4779351,1.9250493,0.5585665
1.1730744,3.051192,0.64345634
0.20002344,2.2632833,0.94639665
-3.8193746,4.454947e-05,0.0020348188
0.578974,0.011302761,0.0074567413
0.8417591,0.46095246,0.23395914
0.20886715,0.011705426,0.010657057
1.4153881,5.1981964,0.94700265
-0.24858496,0.0040146806,0.0055469046
-0.7243664,0.3231466,0.67721885
0.7323817,2.2808592,0.6057191
1.0070193,3.8452554,0.9562229
1.2886981,3.9683106,0.79822445
-3.4436042,6.881274e-05,0.0021606754
-1.3735255,0.0030838838,0.012483565
0.8408033,1.3914863,0.18261153
0.59005874,2.354372,0.7172833
-0.7966139,0.009705135,0.02247486
-0.7027627,0.04490643,0.09474579
0.6990286,1.2948377,0.15585715
0.65080845,3.0760493,0.98693556
-2.568357,0.037226867,0.48750904
-0.36947078,0.00062194845,0.0009620749
1.3486286,3.5191956,0.936068
-3.7462978,0.00011318373,0.004806174
0.034297958,1.0683827,0.06587714
1.2456945,4.7478476,0.9853601
1.4531753,4.43034,0.7935633
-0.44183192,0.0006572423,0.0010880288
-0.5806536,1.2346401,0.39415088
0.09060997,1.2414638,0.21767008
0.8847768,2.4433424,0.59482014
-2.635856,0.0023958622,0.03366638
1.2070011,4.0547805,0.867421
0.718476,0.025629696,0.015018816
0.39577684,2.1370506,0.7243263
1.1329154,4.2029467,0.9518734
1.0287877,2.9355757,0.6844765
1.164326,4.042126,0.8928566
-2.0332701,0.04904499,0.377708
-3.2669008,0.022286981,0.58550954
0.75789684,3.1313004,0.92295974
-0.33807057,1.6736567,0.8669038
0.20498037,2.2935648,0.9624353
-1.3505232,0.00035938967,0.0014229323
0.6731815,1.4777979,0.25396547
-0.07487327,0.36060545,0.40992022
-1.0514973,0.0036095972,0.010687529
-0.7045345,0.108254395,0.22735256
0.57024074,1.3229597,0.18978597
-1.1750807,0.018331135,0.06108476
1.4744276,4.8034544,0.84506845
-0.485023,0.04844039,0.08311889
-0.8053786,0.22008789,0.5033861
-0.010669457,0.009926119,0.011014271
0.59291744,2.7518682,0.8967048
0.30964077,1.6959051,0.49605682
-2.1890235,0.00013202138,0.0011916741
0.10974637,1.9280982,0.7750127
-1.1339508,1.2846911,0.8092944
-0.81290376,0.06466731,0.15127735
0.81167686,3.292409,0.93837684
-3.5561793,0.011818441,0.4146811
-0.4190964,0.063031584,0.10150834
-0.3503343,0.37305087,0.54647994
0.8175732,2.0024328,0.45225763
0.4434025,1.1314445,0.08760038
0.7059084,2.9533744,0.8952417
0.68396795,2.8879228,0.8856807
0.19730048,0.0016838446,0.0015504654
0.2687883,0.69054127,0.55828637
0.07747104,2.149283,0.97004604
0.009782581,1.9307728,0.8505644
0.72428083,1.5537062,0.28020194
-1.3470505,0.0030783745,0.012143727
-0.20010099,1.2343146,0.27563125
0.78440565,2.6756258,0.7355085
-0.23206934,0.2160007,0.2878051
0.14210337,2.2056007,0.9556734
-2.7807071,0.015625041,0.2532054
0.48071337,2.6952915,0.9592526
0.96177834,2.4921563,0.5759906
0.5168202,2.276342,0.72404486
-0.22436199,0.00093756546,0.0012670234
0.15039474,0.073473714,0.07004716
-2.4673517,0.00066565746,0.007914925
-0.7926542,0.0048426087,0.011177392
1.4806079,5.7375803,0.9858914
0.7247785,3.182288,0.96750927
0.45706716,1.512825,0.32656747
1.7684358,7.3597045,0.991338
-2.5158033,0.003106736,0.038749304
0.84643155,2.1816628,0.5130926
0.60208946,2.9857614,0.9904004
-0.47886652,1.2142886,0.32756683
0.20529953,1.6078856,0.47885787
1.2699127,4.824461,0.9825446
-2.2901995,0.044187553,0.43891573
-0.6680386,0.0045435107,0.009311819
