eta,mi,S1
0.58810985,2.141847,0.55223644
0.32425702,3.8016613,0.8867625
0.13097535,0.6706701,0.82417685
-0.08041495,2.2985833,0.7154493
1.1488371,0.036833066,0.079486914
1.950466,2.2954261,0.8795224
1.0343451,0.0065356833,0.015195903
1.3763181,0.6018944,0.6152001
0.33059597,1.6704774,0.4198822
1.5247881,2.9276133,0.6235833
1.290412,4.4358606,0.7918704
0.9374174,2.4026685,0.57786053
0.54713655,0.003218046,0.008245002
0.6019956,0.043735147,0.10246239
1.6072649,0.017217845,0.036625523
0.27583385,0.030226773,0.07863977
0.66586125,0.0039872355,0.009943938
1.6779155,4.015049,0.73013574
0.8496341,0.53730106,0.6287165
0.5548861,3.5836093,0.8143
0.9488907,0.0041443547,0.009811952
0.7840638,0.0037482642,0.009139274
0.9105185,0.0016485251,0.003947263
0.6330227,4.504987,0.8862228
0.5627365,0.113764435,0.23814882
1.2049602,2.19074,0.50884694
0.8888725,0.020267466,0.046963606
-0.31392446,1.1379366,0.14184883
1.0243803,0.008568384,0.019872429
0.93627477,4.200573,0.8143736
1.8344439,3.7585866,0.6994957
1.4754106,0.007054762,0.015504085
0.5385456,0.004538125,0.011619224
1.561444,12.370246,0.97614074
1.0192844,6.6503325,0.9327961
0.45288303,0.0016856376,0.0044280626
1.0926224,0.13303141,0.24538514
0.8051695,2.1050797,0.5190136
0.5919557,2.6730254,0.67311823
0.8009738,5.8982263,0.93738675
0.17155665,4.063019,0.9539933
